libsynctex 2022.62885-3.1
libsysprof-capture 3.46.0-1.2
libtasn1 4.19.0-1.1
libteam 1.31-5.1
libthai 0.1.29-1.1
libtheora 1.1.1-5.1
libtiff 4.4.0-4.1
libtirpc 1.3.3-1.1
libtool 2.4.7-5.1
libtorrent-rasterbar 1:2.0.8-2.1
libunistring 1.1-2.1
libunwind 1.6.2-1.1
libupnp 1.14.14-1.2
liburcu 0.13.2-1.1
liburing 2.3-1.1
libusb 1.0.26-1.1
libusb-compat 0.1.7-1.1
libusbmuxd 2.0.2-1.1
libutf8proc 2.7.0-2.1
libuv 1.44.2-1
libva 2.16.0-1
libva-utils 2.16.0-1.1
libvdpau 1.5-1.1
libvdpau-va-gl 0.4.2-3.1
libverto 0.3.2-4.1
libvisio 0.1.7-8.1
libvisual 0.4.0-8.1
libvorbis 1.3.7-3.1
libvpx 1.12.0-1.1
libwacom 2.5.0-1
libwebp 1.2.4-1.1
libwmf 0.2.12-2.1
libwpd 0.10.3-3.1
libwpe 1.14.0-1.1
libwpg 0.3.3-3.1
libx11 1.8.1-3.1
libxau 1.0.10-1.1
libxaw 1.0.14-1.1
libxcb 1.15-1.1
libxcomposite 0.4.5-4.1
libxcrypt 4.4.30-1
libxcrypt-compat 4.4.30-1
libxcursor 1.2.1-1.1
libxcvt 0.1.2-1.1
libxdamage 1.1.5-4.1
libxdg-basedir 1.2.3-1.1
libxdmcp 1.1.3-4.1
libxext 1.3.5-1.1
libxfixes 6.0.0-1.1
libxfont2 2.0.6-1.1
libxft 2.3.6-1.1
libxi 1.8-1.1
libxinerama 1.1.5-1.1
libxkbcommon 1.4.1-1.1
libxkbcommon-x11 1.4.1-1.1
libxkbfile 1.1.1-1.1
libxml2 2.10.3-2.1
libxmlb 0.3.10-1.1
libxmu 1.1.4-1.1
libxpm 3.5.13-3.1
libxrandr 1.5.2-4.1
libxrender 0.9.11-1.1
libxshmfence 1.3.1-1.1
libxslt 1.1.37-2.1
libxss 1.2.3-4.1
libxt 1.2.1-1.1
libxtst 1.2.4-1.1
libxv 1.0.11-5.1
libxxf86vm 1.1.5-1.1
libyaml 0.2.5-1.1
libyuv r2322+3aebf69d-1.1
licenses 20220125-1
lilv 0.24.20-1.1
linux 6.0.7.arch1-1.1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-bnx2x 20220913.f09bebf-1
linux-firmware-liquidio 20220913.f09bebf-1
linux-firmware-mellanox 20220913.f09bebf-1
linux-firmware-nfp 20220913.f09bebf-1
linux-firmware-qlogic 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-headers 6.0.7.arch1-1.1
lld 14.0.6-1.1
lldb 14.0.6-1.1
llvm 14.0.6-3.1
llvm-libs 14.0.6-3.1
